State,Soil Type,Previous Crop,Fertilizer Used,Water Hardness,Livestock,Resources,Temperature,Rainfall,Recommend Crop,Required Water,Required Fertilizer,Crop Protection Tip,Limited Resources Tip,Predicted Disease,Disease Prevention Tip
Jammu and Kashmir,Alluvial,Wheat,Urea,Hard,Sheep,Harvester,33,1,Wheat,2000,Compost: 1200 kg/ha,Apply pesticides regularly,Adopt drip irrigation,Wilt in peas,Regularly inspect crops
Jammu and Kashmir,Alluvial,Peas,DAP,Hard,None,None,21,1,Walnut,2700,Compost: 1400 kg/ha,Use organic repellents,Adopt drip irrigation,Scab in apple,Use resistant varieties
Jammu and Kashmir,Loamy,Barley,DAP,Soft,Poultry,None,27,3,Peas,2000,DAP: 95 kg/ha,Protect from monkeys with barriers,Implement crop rotation,Mildew in saffron,Regularly inspect crops
Jammu and Kashmir,Alluvial,Wheat,Compost,Soft,Goats,Power Tiller,1,3,Rice,5000,Urea: 100 kg/ha,Protect from monkeys with barriers,Practice mulching,Blast in rice,Apply fungicides
Jammu and Kashmir,Loamy,Wheat,Urea,Hard,None,None,4,3,Almond,2600,Urea: 70 kg/ha,Apply pesticides regularly,Use terrace farming,Blast in rice,Apply fungicides
Jammu and Kashmir,Loamy,Barley,NPK,Soft,Sheep,None,6,2,Apple,3000,Compost: 1500 kg/ha,Apply pesticides regularly,Use terrace farming,Rust in wheat,Regularly inspect crops
Jammu and Kashmir,Loamy,Potato,DAP,Hard,Sheep,None,5,1,Apple,3000,Compost: 1500 kg/ha,Protect from monkeys with barriers,Practice mulching,Blast in rice,Use resistant varieties
Jammu and Kashmir,Loamy,Apple,Compost,Hard,None,Thrasher,8,2,Wheat,2000,Compost: 1200 kg/ha,Apply pesticides regularly,Adopt drip irrigation,Wilt in peas,Apply fungicides
Jammu and Kashmir,Loamy,Maize,DAP,Soft,Goats,None,32,1,Saffron,1800,NPK: 80 kg/ha,Fence fields for sheep,Implement crop rotation,Scab in apple,Ensure proper drainage
Jammu and Kashmir,Mountain Soil,Potato,NPK,Soft,Poultry,None,5,3,Saffron,1800,NPK: 80 kg/ha,Use organic repellents,Implement crop rotation,Scab in apple,Regularly inspect crops
Jammu and Kashmir,Sandy,Apple,Urea,Hard,None,Power Tiller,7,2,Rice,5000,Urea: 100 kg/ha,Protect from monkeys with barriers,Practice mulching,Wilt in peas,Apply fungicides
Jammu and Kashmir,Mountain Soil,Almond,DAP,Hard,Sheep,None,0,3,Almond,2600,Urea: 70 kg/ha,Use organic repellents,Practice mulching,Mildew in saffron,Regularly inspect crops
Jammu and Kashmir,Mountain Soil,Barley,Urea,Hard,Cattle,Cultivator,23,2,Maize,2500,DAP: 90 kg/ha,Protect from monkeys with barriers,Practice mulching,Blast in rice,Regularly inspect crops
Jammu and Kashmir,Sandy,Maize,Urea,Soft,Goats,None,12,1,Saffron,1800,NPK: 80 kg/ha,Fence fields for sheep,Use terrace farming,Blast in rice,Apply fungicides
Jammu and Kashmir,Sandy,Rice,NPK,Hard,Cattle,None,26,2,Apple,3000,Compost: 1500 kg/ha,Use organic repellents,Use terrace farming,Late Blight in potato,Apply fungicides
Jammu and Kashmir,Sandy,Barley,Urea,Soft,Yaks,None,32,1,Almond,2600,Urea: 70 kg/ha,Protect from monkeys with barriers,Adopt drip irrigation,Rust in wheat,Ensure proper drainage
Jammu and Kashmir,Alluvial,Rice,Compost,Soft,Yaks,None,31,1,Saffron,1800,NPK: 80 kg/ha,Fence fields for sheep,Use terrace farming,Scab in apple,Regularly inspect crops
Jammu and Kashmir,Loamy,Rice,NPK,Hard,Goats,None,21,3,Potato,2500,NPK: 85 kg/ha,Use organic repellents,Use terrace farming,Wilt in peas,Regularly inspect crops
Jammu and Kashmir,Loamy,Rice,NPK,Soft,Yaks,None,30,1,Almond,2600,Urea: 70 kg/ha,Apply pesticides regularly,Use terrace farming,Mildew in saffron,Ensure proper drainage
Jammu and Kashmir,Sandy,Barley,Compost,Hard,None,None,21,3,Saffron,1800,NPK: 80 kg/ha,Protect from monkeys with barriers,Implement crop rotation,Wilt in peas,Apply fungicides
Jammu and Kashmir,Mountain Soil,Peas,NPK,Soft,Cattle,None,7,2,Apple,3000,Compost: 1500 kg/ha,Use organic repellents,Adopt drip irrigation,Mildew in saffron,Ensure proper drainage
Jammu and Kashmir,Sandy,Apple,Urea,Soft,Yaks,None,16,2,Apple,3000,Compost: 1500 kg/ha,Fence fields for sheep,Use terrace farming,Blast in rice,Apply fungicides
Jammu and Kashmir,Alluvial,Almond,Compost,Soft,Poultry,None,27,2,Peas,2000,DAP: 95 kg/ha,Fence fields for sheep,Practice mulching,Late Blight in potato,Ensure proper drainage
Jammu and Kashmir,Mountain Soil,Apple,DAP,Soft,Cattle,Seed Drill,20,1,Wheat,2000,Compost: 1200 kg/ha,Use organic repellents,Adopt drip irrigation,Mildew in saffron,Ensure proper drainage
Jammu and Kashmir,Mountain Soil,Rice,DAP,Hard,Cattle,None,6,3,Saffron,1800,NPK: 80 kg/ha,Use organic repellents,Implement crop rotation,Rust in wheat,Ensure proper drainage
Jammu and Kashmir,Mountain Soil,Wheat,Urea,Hard,None,Power Tiller,21,2,Barley,2200,Urea: 110 kg/ha,Fence fields for sheep,Adopt drip irrigation,Rust in wheat,Apply fungicides
Jammu and Kashmir,Alluvial,Peas,Compost,Hard,Goats,None,11,3,Almond,2600,Urea: 70 kg/ha,Use organic repellents,Use terrace farming,Wilt in peas,Use resistant varieties
Jammu and Kashmir,Alluvial,Apple,NPK,Soft,Poultry,None,11,2,Almond,2600,Urea: 70 kg/ha,Fence fields for sheep,Practice mulching,Rust in wheat,Ensure proper drainage
Jammu and Kashmir,Alluvial,Barley,NPK,Hard,Yaks,None,23,1,Almond,2600,Urea: 70 kg/ha,Use organic repellents,Practice mulching,Rust in wheat,Use resistant varieties
Jammu and Kashmir,Loamy,Rice,Urea,Soft,Sheep,Plough,29,2,Rice,5000,Urea: 100 kg/ha,Protect from monkeys with barriers,Use terrace farming,Mildew in saffron,Regularly inspect crops
Jammu and Kashmir,Alluvial,Peas,DAP,Hard,Yaks,Seed Drill,30,3,Wheat,2000,Compost: 1200 kg/ha,Protect from monkeys with barriers,Implement crop rotation,Blast in rice,Ensure proper drainage
Jammu and Kashmir,Sandy,Peas,Urea,Soft,Yaks,None,26,2,Peas,2000,DAP: 95 kg/ha,Use organic repellents,Practice mulching,Blast in rice,Apply fungicides
Jammu and Kashmir,Alluvial,Saffron,Compost,Hard,None,None,34,1,Apple,3000,Compost: 1500 kg/ha,Protect from monkeys with barriers,Adopt drip irrigation,Blast in rice,Use resistant varieties
Jammu and Kashmir,Sandy,Maize,DAP,Soft,Poultry,Power Tiller,25,1,Barley,2200,Urea: 110 kg/ha,Protect from monkeys with barriers,Use terrace farming,Rust in wheat,Apply fungicides
Jammu and Kashmir,Mountain Soil,Walnut,DAP,Soft,Goats,Combine,21,2,Barley,2200,Urea: 110 kg/ha,Fence fields for sheep,Adopt drip irrigation,Scab in apple,Apply fungicides
Jammu and Kashmir,Loamy,Rice,Urea,Soft,Goats,None,11,1,Peas,2000,DAP: 95 kg/ha,Fence fields for sheep,Practice mulching,Wilt in peas,Ensure proper drainage
Jammu and Kashmir,Mountain Soil,Barley,Compost,Hard,None,None,0,1,Apple,3000,Compost: 1500 kg/ha,Apply pesticides regularly,Practice mulching,Blast in rice,Regularly inspect crops
Jammu and Kashmir,Sandy,Apple,Compost,Soft,Goats,Combine,19,3,Maize,2500,DAP: 90 kg/ha,Protect from monkeys with barriers,Implement crop rotation,Mildew in saffron,Regularly inspect crops
Jammu and Kashmir,Loamy,Peas,Compost,Soft,Poultry,None,25,1,Potato,2500,NPK: 85 kg/ha,Apply pesticides regularly,Implement crop rotation,Late Blight in potato,Use resistant varieties
Jammu and Kashmir,Mountain Soil,Peas,Urea,Soft,None,None,23,2,Almond,2600,Urea: 70 kg/ha,Fence fields for sheep,Practice mulching,Late Blight in potato,Apply fungicides
Jammu and Kashmir,Alluvial,Maize,Compost,Soft,Poultry,Plough,26,2,Rice,5000,Urea: 100 kg/ha,Apply pesticides regularly,Use terrace farming,Mildew in saffron,Use resistant varieties
Jammu and Kashmir,Alluvial,Maize,Compost,Soft,None,None,23,2,Potato,2500,NPK: 85 kg/ha,Protect from monkeys with barriers,Implement crop rotation,Mildew in saffron,Use resistant varieties
Jammu and Kashmir,Alluvial,Maize,Compost,Soft,Yaks,None,4,1,Walnut,2700,Compost: 1400 kg/ha,Apply pesticides regularly,Adopt drip irrigation,Wilt in peas,Use resistant varieties
Jammu and Kashmir,Sandy,Almond,Urea,Soft,Yaks,Combine,12,3,Rice,5000,Urea: 100 kg/ha,Protect from monkeys with barriers,Adopt drip irrigation,Scab in apple,Regularly inspect crops
Jammu and Kashmir,Mountain Soil,Barley,NPK,Hard,None,None,26,2,Apple,3000,Compost: 1500 kg/ha,Use organic repellents,Use terrace farming,Late Blight in potato,Regularly inspect crops
Jammu and Kashmir,Loamy,Rice,NPK,Soft,Sheep,Harrow,3,2,Barley,2200,Urea: 110 kg/ha,Apply pesticides regularly,Adopt drip irrigation,Wilt in peas,Use resistant varieties
Jammu and Kashmir,Alluvial,Maize,Urea,Hard,Poultry,None,27,3,Saffron,1800,NPK: 80 kg/ha,Protect from monkeys with barriers,Adopt drip irrigation,Mildew in saffron,Use resistant varieties
Jammu and Kashmir,Sandy,Barley,DAP,Hard,Sheep,Cultivator,25,2,Maize,2500,DAP: 90 kg/ha,Apply pesticides regularly,Adopt drip irrigation,Rust in wheat,Regularly inspect crops
Jammu and Kashmir,Loamy,Rice,Urea,Soft,Yaks,Harrow,28,3,Barley,2200,Urea: 110 kg/ha,Fence fields for sheep,Use terrace farming,Wilt in peas,Ensure proper drainage
Jammu and Kashmir,Loamy,Saffron,NPK,Soft,Yaks,None,35,2,Peas,2000,DAP: 95 kg/ha,Protect from monkeys with barriers,Practice mulching,Wilt in peas,Regularly inspect crops
Jammu and Kashmir,Loamy,Wheat,Urea,Soft,Cattle,None,12,3,Walnut,2700,Compost: 1400 kg/ha,Fence fields for sheep,Practice mulching,Wilt in peas,Apply fungicides
Jammu and Kashmir,Mountain Soil,Walnut,DAP,Soft,Goats,Combine,12,3,Maize,2500,DAP: 90 kg/ha,Fence fields for sheep,Practice mulching,Rust in wheat,Regularly inspect crops
Jammu and Kashmir,Sandy,Potato,NPK,Hard,None,Thrasher,14,2,Wheat,2000,Compost: 1200 kg/ha,Fence fields for sheep,Adopt drip irrigation,Late Blight in potato,Use resistant varieties
Jammu and Kashmir,Mountain Soil,Maize,Compost,Hard,Yaks,None,3,2,Walnut,2700,Compost: 1400 kg/ha,Fence fields for sheep,Practice mulching,Rust in wheat,Regularly inspect crops
Jammu and Kashmir,Sandy,Peas,NPK,Soft,Goats,Power Tiller,23,3,Maize,2500,DAP: 90 kg/ha,Use organic repellents,Use terrace farming,Late Blight in potato,Ensure proper drainage
Jammu and Kashmir,Loamy,Peas,Urea,Soft,None,None,30,1,Saffron,1800,NPK: 80 kg/ha,Fence fields for sheep,Adopt drip irrigation,Wilt in peas,Regularly inspect crops
Jammu and Kashmir,Alluvial,Almond,NPK,Hard,Goats,Plough,10,1,Rice,5000,Urea: 100 kg/ha,Apply pesticides regularly,Implement crop rotation,Late Blight in potato,Regularly inspect crops
Jammu and Kashmir,Mountain Soil,Barley,NPK,Hard,Yaks,None,34,1,Potato,2500,NPK: 85 kg/ha,Fence fields for sheep,Implement crop rotation,Mildew in saffron,Regularly inspect crops
Jammu and Kashmir,Loamy,Almond,NPK,Soft,Yaks,Thrasher,3,2,Wheat,2000,Compost: 1200 kg/ha,Use organic repellents,Adopt drip irrigation,Scab in apple,Apply fungicides
Jammu and Kashmir,Loamy,Saffron,Compost,Soft,None,None,5,2,Peas,2000,DAP: 95 kg/ha,Fence fields for sheep,Practice mulching,Rust in wheat,Ensure proper drainage
Jammu and Kashmir,Alluvial,Apple,Compost,Soft,Poultry,None,15,1,Almond,2600,Urea: 70 kg/ha,Use organic repellents,Implement crop rotation,Scab in apple,Regularly inspect crops
Jammu and Kashmir,Sandy,Potato,NPK,Hard,Cattle,None,34,2,Saffron,1800,NPK: 80 kg/ha,Use organic repellents,Implement crop rotation,Mildew in saffron,Use resistant varieties
Jammu and Kashmir,Alluvial,Barley,NPK,Hard,None,Plough,27,2,Wheat,2000,Compost: 1200 kg/ha,Use organic repellents,Adopt drip irrigation,Scab in apple,Regularly inspect crops
Jammu and Kashmir,Mountain Soil,Peas,NPK,Hard,Goats,None,1,3,Walnut,2700,Compost: 1400 kg/ha,Protect from monkeys with barriers,Practice mulching,Mildew in saffron,Ensure proper drainage
Jammu and Kashmir,Loamy,Saffron,Compost,Hard,Sheep,Plough,29,2,Wheat,2000,Compost: 1200 kg/ha,Fence fields for sheep,Adopt drip irrigation,Mildew in saffron,Regularly inspect crops
Jammu and Kashmir,Loamy,Wheat,DAP,Hard,Poultry,None,11,2,Saffron,1800,NPK: 80 kg/ha,Fence fields for sheep,Implement crop rotation,Mildew in saffron,Regularly inspect crops
Jammu and Kashmir,Loamy,Saffron,Urea,Hard,Poultry,Combine,33,1,Rice,5000,Urea: 100 kg/ha,Protect from monkeys with barriers,Implement crop rotation,Rust in wheat,Regularly inspect crops
Jammu and Kashmir,Alluvial,Rice,NPK,Soft,None,Thrasher,34,1,Wheat,2000,Compost: 1200 kg/ha,Apply pesticides regularly,Implement crop rotation,Late Blight in potato,Apply fungicides
Jammu and Kashmir,Sandy,Barley,DAP,Hard,None,None,13,3,Almond,2600,Urea: 70 kg/ha,Fence fields for sheep,Implement crop rotation,Scab in apple,Ensure proper drainage
Jammu and Kashmir,Sandy,Rice,NPK,Hard,Poultry,None,10,3,Saffron,1800,NPK: 80 kg/ha,Use organic repellents,Adopt drip irrigation,Rust in wheat,Use resistant varieties
Jammu and Kashmir,Mountain Soil,Apple,NPK,Soft,Poultry,None,12,1,Walnut,2700,Compost: 1400 kg/ha,Fence fields for sheep,Practice mulching,Rust in wheat,Apply fungicides
Jammu and Kashmir,Alluvial,Wheat,Urea,Hard,Poultry,None,17,1,Potato,2500,NPK: 85 kg/ha,Use organic repellents,Use terrace farming,Scab in apple,Regularly inspect crops
Jammu and Kashmir,Sandy,Barley,Urea,Hard,Goats,None,26,2,Peas,2000,DAP: 95 kg/ha,Use organic repellents,Adopt drip irrigation,Blast in rice,Use resistant varieties
Jammu and Kashmir,Sandy,Rice,DAP,Soft,Sheep,Cultivator,32,3,Maize,2500,DAP: 90 kg/ha,Use organic repellents,Implement crop rotation,Scab in apple,Use resistant varieties
Jammu and Kashmir,Mountain Soil,Barley,NPK,Soft,Cattle,None,20,1,Saffron,1800,NPK: 80 kg/ha,Fence fields for sheep,Use terrace farming,Late Blight in potato,Regularly inspect crops
Jammu and Kashmir,Loamy,Peas,Compost,Soft,Sheep,None,10,2,Peas,2000,DAP: 95 kg/ha,Apply pesticides regularly,Practice mulching,Rust in wheat,Ensure proper drainage
Jammu and Kashmir,Loamy,Maize,DAP,Hard,Sheep,None,11,2,Almond,2600,Urea: 70 kg/ha,Use organic repellents,Adopt drip irrigation,Rust in wheat,Ensure proper drainage
Jammu and Kashmir,Mountain Soil,Rice,NPK,Hard,Poultry,None,7,1,Peas,2000,DAP: 95 kg/ha,Use organic repellents,Adopt drip irrigation,Wilt in peas,Apply fungicides
Jammu and Kashmir,Sandy,Rice,NPK,Hard,Yaks,None,5,1,Potato,2500,NPK: 85 kg/ha,Apply pesticides regularly,Implement crop rotation,Late Blight in potato,Ensure proper drainage
Jammu and Kashmir,Mountain Soil,Walnut,DAP,Soft,Cattle,Combine,11,2,Barley,2200,Urea: 110 kg/ha,Protect from monkeys with barriers,Implement crop rotation,Scab in apple,Use resistant varieties
Jammu and Kashmir,Mountain Soil,Apple,NPK,Hard,Sheep,Thrasher,1,3,Wheat,2000,Compost: 1200 kg/ha,Fence fields for sheep,Use terrace farming,Late Blight in potato,Regularly inspect crops
Jammu and Kashmir,Mountain Soil,Apple,DAP,Soft,None,Plough,27,3,Rice,5000,Urea: 100 kg/ha,Fence fields for sheep,Practice mulching,Mildew in saffron,Ensure proper drainage
Jammu and Kashmir,Alluvial,Apple,DAP,Soft,Sheep,None,12,1,Peas,2000,DAP: 95 kg/ha,Apply pesticides regularly,Adopt drip irrigation,Mildew in saffron,Apply fungicides
Jammu and Kashmir,Loamy,Maize,Compost,Hard,None,None,20,2,Walnut,2700,Compost: 1400 kg/ha,Fence fields for sheep,Adopt drip irrigation,Late Blight in potato,Ensure proper drainage
Jammu and Kashmir,Alluvial,Apple,Urea,Soft,Sheep,Thrasher,6,2,Wheat,2000,Compost: 1200 kg/ha,Fence fields for sheep,Adopt drip irrigation,Blast in rice,Apply fungicides
Jammu and Kashmir,Loamy,Peas,DAP,Hard,Cattle,Plough,14,2,Wheat,2000,Compost: 1200 kg/ha,Apply pesticides regularly,Use terrace farming,Blast in rice,Regularly inspect crops
Jammu and Kashmir,Sandy,Peas,NPK,Hard,Cattle,Combine,28,2,Maize,2500,DAP: 90 kg/ha,Use organic repellents,Implement crop rotation,Mildew in saffron,Apply fungicides
Jammu and Kashmir,Loamy,Peas,Urea,Soft,Cattle,None,34,3,Walnut,2700,Compost: 1400 kg/ha,Apply pesticides regularly,Adopt drip irrigation,Mildew in saffron,Regularly inspect crops
Jammu and Kashmir,Sandy,Peas,DAP,Soft,Cattle,None,8,2,Peas,2000,DAP: 95 kg/ha,Fence fields for sheep,Use terrace farming,Wilt in peas,Regularly inspect crops
Jammu and Kashmir,Sandy,Peas,Compost,Hard,Cattle,Thrasher,15,1,Wheat,2000,Compost: 1200 kg/ha,Protect from monkeys with barriers,Implement crop rotation,Scab in apple,Ensure proper drainage
Jammu and Kashmir,Mountain Soil,Walnut,Urea,Hard,Sheep,Combine,34,3,Barley,2200,Urea: 110 kg/ha,Fence fields for sheep,Practice mulching,Wilt in peas,Regularly inspect crops
Jammu and Kashmir,Alluvial,Saffron,Urea,Soft,Goats,Power Tiller,34,2,Maize,2500,DAP: 90 kg/ha,Protect from monkeys with barriers,Implement crop rotation,Late Blight in potato,Use resistant varieties
Jammu and Kashmir,Alluvial,Saffron,DAP,Hard,Goats,Combine,3,3,Barley,2200,Urea: 110 kg/ha,Apply pesticides regularly,Use terrace farming,Rust in wheat,Use resistant varieties
Jammu and Kashmir,Loamy,Barley,NPK,Soft,Poultry,Seed Drill,28,1,Rice,5000,Urea: 100 kg/ha,Protect from monkeys with barriers,Adopt drip irrigation,Wilt in peas,Ensure proper drainage
Jammu and Kashmir,Alluvial,Potato,NPK,Soft,Sheep,None,21,2,Apple,3000,Compost: 1500 kg/ha,Protect from monkeys with barriers,Practice mulching,Mildew in saffron,Regularly inspect crops
Jammu and Kashmir,Alluvial,Barley,DAP,Soft,Cattle,Cultivator,23,3,Maize,2500,DAP: 90 kg/ha,Apply pesticides regularly,Adopt drip irrigation,Rust in wheat,Ensure proper drainage
Jammu and Kashmir,Mountain Soil,Rice,Compost,Soft,Yaks,None,1,2,Saffron,1800,NPK: 80 kg/ha,Use organic repellents,Practice mulching,Late Blight in potato,Regularly inspect crops
Jammu and Kashmir,Sandy,Walnut,Compost,Hard,Cattle,None,28,2,Apple,3000,Compost: 1500 kg/ha,Use organic repellents,Adopt drip irrigation,Rust in wheat,Regularly inspect crops
Jammu and Kashmir,Alluvial,Rice,NPK,Hard,Goats,None,15,1,Apple,3000,Compost: 1500 kg/ha,Fence fields for sheep,Adopt drip irrigation,Mildew in saffron,Regularly inspect crops
Jammu and Kashmir,Sandy,Maize,Urea,Hard,None,None,4,3,Saffron,1800,NPK: 80 kg/ha,Protect from monkeys with barriers,Adopt drip irrigation,Late Blight in potato,Apply fungicides
Jammu and Kashmir,Loamy,Maize,DAP,Soft,Sheep,None,14,2,Peas,2000,DAP: 95 kg/ha,Apply pesticides regularly,Use terrace farming,Blast in rice,Regularly inspect crops
Jammu and Kashmir,Loamy,Peas,NPK,Hard,Yaks,Power Tiller,6,2,Barley,2200,Urea: 110 kg/ha,Apply pesticides regularly,Implement crop rotation,Late Blight in potato,Regularly inspect crops
Jammu and Kashmir,Loamy,Apple,NPK,Hard,None,None,17,3,Almond,2600,Urea: 70 kg/ha,Fence fields for sheep,Use terrace farming,Mildew in saffron,Regularly inspect crops
Jammu and Kashmir,Loamy,Barley,DAP,Soft,None,None,6,3,Apple,3000,Compost: 1500 kg/ha,Use organic repellents,Implement crop rotation,Mildew in saffron,Regularly inspect crops
Jammu and Kashmir,Mountain Soil,Maize,Compost,Hard,None,Plough,28,3,Barley,2200,Urea: 110 kg/ha,Protect from monkeys with barriers,Use terrace farming,Late Blight in potato,Regularly inspect crops
Jammu and Kashmir,Alluvial,Barley,NPK,Soft,None,None,21,2,Walnut,2700,Compost: 1400 kg/ha,Apply pesticides regularly,Implement crop rotation,Wilt in peas,Use resistant varieties
Jammu and Kashmir,Loamy,Almond,DAP,Soft,Cattle,Sprayer,28,3,Maize,2500,DAP: 90 kg/ha,Apply pesticides regularly,Implement crop rotation,Mildew in saffron,Apply fungicides
Jammu and Kashmir,Loamy,Almond,Urea,Soft,Poultry,None,34,2,Peas,2000,DAP: 95 kg/ha,Use organic repellents,Use terrace farming,Wilt in peas,Ensure proper drainage
Jammu and Kashmir,Alluvial,Walnut,DAP,Soft,None,None,6,1,Walnut,2700,Compost: 1400 kg/ha,Protect from monkeys with barriers,Practice mulching,Late Blight in potato,Ensure proper drainage
Jammu and Kashmir,Alluvial,Potato,Urea,Soft,Yaks,Plough,20,1,Rice,5000,Urea: 100 kg/ha,Protect from monkeys with barriers,Adopt drip irrigation,Late Blight in potato,Use resistant varieties
Jammu and Kashmir,Sandy,Barley,DAP,Soft,Yaks,None,17,2,Peas,2000,DAP: 95 kg/ha,Use organic repellents,Implement crop rotation,Late Blight in potato,Use resistant varieties
Jammu and Kashmir,Loamy,Walnut,Compost,Hard,Cattle,None,34,2,Apple,3000,Compost: 1500 kg/ha,Use organic repellents,Implement crop rotation,Rust in wheat,Regularly inspect crops
Jammu and Kashmir,Alluvial,Rice,DAP,Soft,Goats,None,28,3,Almond,2600,Urea: 70 kg/ha,Protect from monkeys with barriers,Use terrace farming,Late Blight in potato,Use resistant varieties
Jammu and Kashmir,Alluvial,Rice,NPK,Hard,Sheep,None,18,3,Peas,2000,DAP: 95 kg/ha,Use organic repellents,Practice mulching,Late Blight in potato,Regularly inspect crops
Jammu and Kashmir,Alluvial,Almond,DAP,Soft,Yaks,None,10,2,Peas,2000,DAP: 95 kg/ha,Protect from monkeys with barriers,Implement crop rotation,Rust in wheat,Use resistant varieties
Jammu and Kashmir,Sandy,Walnut,DAP,Hard,Sheep,None,18,2,Peas,2000,DAP: 95 kg/ha,Protect from monkeys with barriers,Practice mulching,Scab in apple,Apply fungicides
Jammu and Kashmir,Mountain Soil,Almond,DAP,Soft,Sheep,Cultivator,30,2,Maize,2500,DAP: 90 kg/ha,Apply pesticides regularly,Implement crop rotation,Late Blight in potato,Regularly inspect crops
Jammu and Kashmir,Sandy,Wheat,Compost,Soft,Goats,Power Tiller,17,3,Rice,5000,Urea: 100 kg/ha,Use organic repellents,Adopt drip irrigation,Scab in apple,Ensure proper drainage
Jammu and Kashmir,Loamy,Saffron,DAP,Soft,Sheep,None,14,1,Almond,2600,Urea: 70 kg/ha,Apply pesticides regularly,Use terrace farming,Mildew in saffron,Use resistant varieties
Jammu and Kashmir,Alluvial,Almond,Compost,Soft,Sheep,None,12,1,Potato,2500,NPK: 85 kg/ha,Use organic repellents,Practice mulching,Wilt in peas,Use resistant varieties
Jammu and Kashmir,Mountain Soil,Barley,NPK,Soft,Cattle,None,29,3,Apple,3000,Compost: 1500 kg/ha,Apply pesticides regularly,Use terrace farming,Wilt in peas,Regularly inspect crops
Jammu and Kashmir,Alluvial,Rice,Compost,Soft,Goats,Combine,8,1,Barley,2200,Urea: 110 kg/ha,Protect from monkeys with barriers,Implement crop rotation,Mildew in saffron,Apply fungicides
Jammu and Kashmir,Mountain Soil,Barley,NPK,Hard,Cattle,Power Tiller,7,3,Maize,2500,DAP: 90 kg/ha,Use organic repellents,Practice mulching,Wilt in peas,Regularly inspect crops
Jammu and Kashmir,Loamy,Maize,Urea,Soft,Cattle,None,14,3,Almond,2600,Urea: 70 kg/ha,Use organic repellents,Practice mulching,Blast in rice,Use resistant varieties
Jammu and Kashmir,Loamy,Wheat,Urea,Hard,Poultry,None,6,2,Walnut,2700,Compost: 1400 kg/ha,Fence fields for sheep,Implement crop rotation,Late Blight in potato,Regularly inspect crops
Jammu and Kashmir,Sandy,Barley,Compost,Soft,None,Cultivator,3,1,Maize,2500,DAP: 90 kg/ha,Protect from monkeys with barriers,Implement crop rotation,Scab in apple,Ensure proper drainage
Jammu and Kashmir,Mountain Soil,Maize,DAP,Hard,Poultry,Seed Drill,20,1,Rice,5000,Urea: 100 kg/ha,Protect from monkeys with barriers,Adopt drip irrigation,Mildew in saffron,Apply fungicides
Jammu and Kashmir,Sandy,Rice,DAP,Hard,None,Seed Drill,6,1,Wheat,2000,Compost: 1200 kg/ha,Fence fields for sheep,Use terrace farming,Late Blight in potato,Ensure proper drainage
Jammu and Kashmir,Mountain Soil,Walnut,DAP,Hard,Goats,Power Tiller,11,2,Rice,5000,Urea: 100 kg/ha,Fence fields for sheep,Adopt drip irrigation,Late Blight in potato,Ensure proper drainage
Jammu and Kashmir,Alluvial,Saffron,Urea,Hard,None,None,11,3,Potato,2500,NPK: 85 kg/ha,Fence fields for sheep,Implement crop rotation,Late Blight in potato,Apply fungicides
Jharkhand,Clay,Mustard,Urea,Soft,Goats,Cultivator,33,1,Mustard,1800,DAP: 110 kg/ha,Use organic pesticides,Use rainwater harvesting,Rust in wheat,Use resistant varieties
Jharkhand,Clay,Mustard,DAP,Hard,Poultry,Thrasher,32,2,Mustard,1800,DAP: 110 kg/ha,Fence fields for cattle,Practice intercropping,Wilt in tomato,Use resistant varieties
Jharkhand,Loamy,Pulses,Urea,Hard,None,Power Tiller,28,3,Pulses,1800,Compost: 1200 kg/ha,Fence fields for cattle,Practice intercropping,Blight in maize,Apply fungicides
Jharkhand,Loamy,Mustard,NPK,Hard,None,Plough,20,3,Mustard,1800,DAP: 110 kg/ha,Use netting for birds,Use rainwater harvesting,Leaf Spot in groundnut,Use resistant varieties
Jharkhand,Clay,Maize,DAP,Soft,Goats,Combine,27,3,Maize,2200,DAP: 130 kg/ha,Use organic pesticides,Use rainwater harvesting,Blast in rice,Apply fungicides
Jharkhand,Sandy,Pulses,NPK,Soft,Poultry,Brush Cutter,18,2,Pulses,1800,Compost: 1200 kg/ha,Fence fields for cattle,Use rainwater harvesting,Wilt in tomato,Ensure proper drainage
Jharkhand,Red Laterite,Pulses,NPK,Hard,None,Thrasher,18,1,Pulses,1800,Compost: 1200 kg/ha,Use netting for birds,Apply mulching,Blast in rice,Ensure proper drainage
Jharkhand,Loamy,Groundnut,Compost,Soft,Goats,Sprayer,20,2,Groundnut,2400,Compost: 1500 kg/ha,Use organic pesticides,Apply mulching,Blight in maize,Use resistant varieties
Jharkhand,Red Laterite,Tomato,Urea,Soft,Goats,None,32,2,Tomato,3200,NPK: 120 kg/ha,Use netting for birds,Apply mulching,Wilt in tomato,Use resistant varieties
Jharkhand,Clay,Wheat,Urea,Hard,Poultry,Seed Drill,20,2,Wheat,2000,Urea: 80 kg/ha,Fence fields for cattle,Apply mulching,Blight in maize,Apply fungicides
Jharkhand,Loamy,Maize,Compost,Hard,None,Combine,22,1,Maize,2200,DAP: 130 kg/ha,Fence fields for cattle,Apply mulching,Leaf Spot in groundnut,Ensure proper drainage
